# IDD, InDel distribution:
# IDD	[2]id	[3]length (deletions negative)	[4]count
IDD	0	-60	3219
IDD	0	-59	64
IDD	0	-58	124
IDD	0	-57	70
IDD	0	-56	156
IDD	0	-55	91
IDD	0	-54	140
IDD	0	-53	95
IDD	0	-52	171
IDD	0	-51	121
IDD	0	-50	232
IDD	0	-49	230
IDD	0	-48	305
IDD	0	-47	171
IDD	0	-46	239
IDD	0	-45	193
IDD	0	-44	304
IDD	0	-43	172
IDD	0	-42	340
IDD	0	-41	225
IDD	0	-40	647
IDD	0	-39	304
IDD	0	-38	454
IDD	0	-37	281
IDD	0	-36	694
IDD	0	-35	412
IDD	0	-34	627
IDD	0	-33	397
IDD	0	-32	991
IDD	0	-31	420
IDD	0	-30	1167
IDD	0	-29	547
IDD	0	-28	1478
IDD	0	-27	733
IDD	0	-26	1508
IDD	0	-25	1095
IDD	0	-24	2612
IDD	0	-23	1033
IDD	0	-22	2166
IDD	0	-21	1347
IDD	0	-20	4484
IDD	0	-19	1584
IDD	0	-18	3969
IDD	0	-17	2020
IDD	0	-16	6856
IDD	0	-15	4171
IDD	0	-14	6367
IDD	0	-13	3589
IDD	0	-12	13848
IDD	0	-11	4724
IDD	0	-10	13696
IDD	0	-9	7355
IDD	0	-8	23901
IDD	0	-7	9360
IDD	0	-6	28351
IDD	0	-5	25379
IDD	0	-4	85340
IDD	0	-3	58594
IDD	0	-2	150211
IDD	0	-1	355788
IDD	0	1	356625
IDD	0	2	142144
IDD	0	3	49966
IDD	0	4	78033
IDD	0	5	21759
IDD	0	6	27126
IDD	0	7	7854
IDD	0	8	23877
IDD	0	9	6616
IDD	0	10	12636
IDD	0	11	3820
IDD	0	12	13153
IDD	0	13	2759
IDD	0	14	5423
IDD	0	15	3658
IDD	0	16	6470
IDD	0	17	1708
IDD	0	18	3399
IDD	0	19	1354
IDD	0	20	4253
IDD	0	21	1233
IDD	0	22	1760
IDD	0	23	901
IDD	0	24	2261
IDD	0	25	993
IDD	0	26	1097
IDD	0	27	645
IDD	0	28	1235
IDD	0	29	436
IDD	0	30	953
IDD	0	31	384
IDD	0	32	842
IDD	0	33	309
IDD	0	34	459
IDD	0	35	416
IDD	0	36	531
IDD	0	37	270
IDD	0	38	315
IDD	0	39	253
IDD	0	40	507
IDD	0	41	174
IDD	0	42	283
IDD	0	43	169
IDD	0	44	248
IDD	0	45	193
IDD	0	46	215
IDD	0	47	159
IDD	0	48	258
IDD	0	49	176
IDD	0	50	193
IDD	0	51	138
IDD	0	52	170
IDD	0	53	129
IDD	0	54	159
IDD	0	55	111
IDD	0	56	128
IDD	0	57	103
IDD	0	58	112
IDD	0	59	111
IDD	0	60	3588
